transaction_id,customer_id,product_id,transaction_date,units_sold,discount_applied,revenue,clicks,impressions,conversion_rate,category,region,ad_ctr,ad_cpc,ad_spend,year,month,day,day_of_week,price_per_unit,is_anomaly,model_anomaly_prediction
8b460852-7c64-46fa-998b-b0976879d082,Customer_65,Product_224,2024-06-10,134,0.14,305.54,11,65,0.17,Electronics,Europe,0.018,0.55,9.9,2024,6,10,0,2.2801492537313437,0,0
5bc3b98f-cb0c-4b12-947c-df8bbb35a73e,Customer_2306,Product_374,2024-04-04,116,0.04,471.29,16,199,0.08,Toys,Asia,0.0596,1.5,89.4,2024,4,4,3,4.062844827586207,0,0
8bee087a-a8a9-45bb-89d7-04d1710f1b00,Customer_16033,Product_358,2024-05-05,132,0.07,803.76,44,355,0.12,Books,North America,0.127,0.53,67.31,2024,5,5,6,6.089090909090909,0,0
1110dffb-5c4e-4c0d-b082-461809386e84,Customer_98,Product_609,2023-08-12,145,0.17,121.56,25,110,0.23,Clothing,North America,0.0889,1.97,175.13,2023,8,12,5,0.8383448275862069,0,0
2c2a232d-838c-43f8-a485-d954b6135ea6,Customer_883,Product_807,2024-10-04,152,0.2,757.34,27,73,0.37,Toys,North America,0.1562,1.55,242.11,2024,10,4,4,4.9825,0,0
d50bcd5b-0199-409d-99c2-ff522d3aa957,Customer_7549,Product_933,2024-07-10,102,0.24,226.05,42,202,0.21,Books,Asia,0.1941,0.1,19.41,2024,7,10,2,2.2161764705882354,0,0
e3e22774-6044-43d7-9f41-deed99df6514,Customer_8242,Product_743,2024-06-07,117,0.12,195.44,20,189,0.11,Home Appliances,Europe,0.1056,0.57,60.19,2024,6,7,4,1.6704273504273504,0,0
73bde555-b073-46dc-9e45-5276a9ea9458,Customer_14971,Product_467,2024-11-11,131,0.09,135.11,8,102,0.08,Toys,Europe,0.1521,0.87,132.33,2024,11,11,0,1.0313740458015268,0,0
1b95c177-0422-498f-9285-fbac64053117,Customer_6107,Product_964,2024-01-08,145,0.18,243.97,24,285,0.08,Clothing,North America,0.0316,1.03,32.55,2024,1,8,0,1.682551724137931,0,0
abbfd3e1-e468-424f-b3ac-d632e4f777ea,Customer_2280,Product_344,2024-03-04,116,0.03,1132.88,46,66,0.7,Books,Europe,0.1345,0.38,51.11,2024,3,4,0,9.766206896551726,0,0
b771a3ef-edb8-43c1-a49b-e465e73421c5,Customer_16948,Product_472,2024-05-08,135,0.01,141.89,38,375,0.1,Electronics,Europe,0.087,0.98,85.26,2024,5,8,2,1.051037037037037,0,0
1986f49e-48fd-4224-9df8-3012628d3838,Customer_17356,Product_686,2024-04-03,122,0.2,1560.38,45,133,0.34,Home Appliances,Europe,0.1344,0.58,77.95,2024,4,3,2,12.79,0,0
f2bd2fbd-8555-4f26-9807-b697560ca5b6,Customer_13702,Product_172,2024-09-02,141,0.06,827.16,6,493,0.01,Home Appliances,North America,0.0246,1.1,27.06,2024,9,2,0,5.866382978723404,0,0
20eb4ba0-1427-499b-9a92-117b52a758c9,Customer_5557,Product_863,2024-07-10,143,0.02,300.47,13,479,0.03,Home Appliances,North America,0.1805,1.62,292.41,2024,7,10,2,2.1011888111888117,0,0
daf10281-860f-4ba7-9357-1cef4007e25f,Customer_18531,Product_966,2023-11-12,116,0.16,977.13,8,268,0.03,Clothing,Asia,0.0522,0.71,37.06,2023,11,12,6,8.42353448275862,0,0
a6795bcb-046d-4701-a304-05be9954a5cc,Customer_16432,Product_327,2024-03-07,150,0.3,41.29,6,298,0.02,Clothing,North America,0.0881,1.12,98.67,2024,3,7,3,0.2752666666666666,0,0
502a918a-1949-4e6c-977c-ca50df483c83,Customer_16972,Product_56,2024-05-09,158,0.04,736.59,13,121,0.11,Toys,North America,0.1099,1.51,165.95,2024,5,9,3,4.661962025316456,0,0
d213ce53-097d-411a-a59e-fbc1f33a5aa1,Customer_4949,Product_408,2024-09-06,139,0.15,1575.56,14,15,0.93,Books,North America,0.1216,1.54,187.26,2024,9,6,4,11.334964028776978,0,1
15376065-f6c3-4a3e-b913-63b0ed7b233d,Customer_3150,Product_815,2024-10-09,151,0.24,347.46,49,247,0.2,Clothing,North America,0.1795,1.1,197.45,2024,10,9,2,2.3010596026490067,0,0
